,Property Name,Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Floor Num,Total Floor,Property Age,URL,Furnishing,Covered_Parking,Open_Parking,Total Parking,Rating,Power Backup,Facing,Overlooking,Extra_Rooms,NearbyPlaces
5048,Antriksh Heights,Sector 84,1.45,1597,3,3,4,10,19,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1725-sq-ft-spid-Y81094801,1,1,0,1,3.7,1,North,Park,1,"['Millennium City', 'Sapphire 83', 'NH 48', 'Delhi Public School', 'Dhamma Dipa International', 'Aarvy Healthcare hospital']"
5050,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.1,1091,2,2,3,14,14,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1368-sq-ft-spid-K83290924,1,1,0,1,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5051,Shapoorji Pallonji Joyville Gurugram,Sector 102,1.55,759,2,2,2,10,14,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-915-sq-ft-spid-D83291068,1,1,0,1,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5052,Shapoorji Pallonji Joyville Gurugram,Sector 102,3.16,1767,4,4,4,14,23,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-2162-sq-ft-spid-X83291548,1,2,0,2,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5053,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.65,1607,3,3,4,2,26,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-R83284180,0,1,0,1,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5054,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.36,1465,3,3,3,11,18,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1692-sq-ft-spid-Y83291316,1,1,0,1,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5055,Godrej Meridien,Sector 106,3.1,949,3,3,2,5,34,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1024-sq-ft-spid-S83196816,1,2,0,2,3.4,1,Unknown,Park,0,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109']"
5056,Experion Windchants,Sector 112,4.7,2226,3,3,4,18,28,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-2802-sq-ft-spid-L83150068,1,2,1,3,4.0,1,North-East,Club,1,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital']"
5057,Hero Homes,Sector 104,1.55,1018,2,2,2,15,35,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1099-sq-ft-spid-G83132084,1,1,0,1,4.1000000000000005,1,North,Club,0,"['The Esplanade Mall', 'Dwarka Expressway', 'Gurugram Global Heights School', 'SGT University', 'Medanta Hospital']"
5058,Akash Ganga Apartment,Sector 56,2.3,1700,3,3,2,5,8,4,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-akash-ganga-apartment-sector-56-gurgaon-2000-sq-ft-spid-O83012272,1,1,1,2,3.86,0,West,Main Road,0,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Hong Kong Bazaar Mall', 'Sanatan Dharm Mandir']"
5059,ATS Tourmaline,Sector 109,2.6,1797,3,4,4,14,27,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-2150-sq-ft-spid-V82817110,1,2,0,2,4.0,1,North-East,Club,2,"['Dwarka Sector 21 Metro Station', 'NeoSquare Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University']"
5060,Emaar Imperial Gardens,Sector 102,2.5,1624,3,4,4,7,14,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2000-sq-ft-spid-O82656864,1,1,0,1,3.8,1,North,Club,1,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital']"
5061,Experion The Heartsong,Sector 108,2.3,1500,3,4,4,2,14,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-2003-sq-ft-spid-L82958950,2,1,1,2,4.0,1,North-East,Club,1,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport']"
5062,Chintels Serenity,Sector 109,3.05,1810,3,4,4,1,20,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chintels-serenity-sector-109-gurgaon-1955-sq-ft-spid-Z82897250,0,1,0,1,3.5,1,North,Club,2,"['Yashobhoomi Dwarka Sector-25', 'Global Foyer Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University']"
5063,Chintels Serenity,Sector 109,2.46,1307,3,3,3,2,20,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chintels-serenity-sector-109-gurgaon-1590-sq-ft-spid-X82897166,0,1,0,1,3.5,1,North,Club,0,"['Yashobhoomi Dwarka Sector-25', 'Global Foyer Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University']"
5064,La Vida by Tata Housing,Sector 113,3.15,1924,3,3,3,15,25,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2217-sq-ft-spid-P82851306,1,2,0,2,3.6000000000000005,1,North-East,Club,1,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Dwarka Expressway', 'Orchids The International School', 'GGS Indraprastha University']"
5065,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.68,1607,3,3,3,11,26,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-X82828978,1,1,0,1,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5066,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.6,1607,3,3,3,7,14,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-Y82655942,0,1,0,1,3.9,1,North,Park,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5067,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.04,1091,2,2,3,6,14,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1368-sq-ft-spid-Q82656502,0,1,0,1,3.9,1,North,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5068,Indiabulls Centrum Park,Sector 103,2.8,2662,4,6,4,10,18,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-2875-sq-ft-spid-O82649430,0,0,2,2,3.8,1,North-East,Club,1,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School']"
5069,Sobha City,Sector 108,4.0,1703,3,3,2,9,24,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-spid-H82417242,0,2,1,3,3.7,1,North,Main Road,0,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University']"
5070,Emaar Imperial Gardens,Sector 102,2.45,1651,3,4,1,7,14,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-R81840320,1,1,1,2,3.8,1,North-East,Club,1,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital']"
5071,ATS Kocoon,Sector 109,2.25,1550,3,3,3,12,23,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-kocoon-sector-109-gurgaon-1745-sq-ft-spid-R82340310,1,1,0,1,4.2,1,North-East,Club,0,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir']"
5072,ATS Marigold,Sector 89,2.49,1820,3,4,4,7,22,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-marigold-sector-89-a-gurgaon-2150-sq-ft-spid-X82167894,1,2,0,2,3.6000000000000005,1,North-East,Club,1,"['Reliance Trends Newtown Square Mall', 'Dwarka Expressway', 'RPS International School', 'Royal Institute Of Science & Mgmt']"
5073,ILD Grand,Sector 37,1.55,1596,3,3,3,7,27,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ild-grand-sector-37c-gurgaon-1790-sq-ft-spid-F82149964,0,1,1,2,3.7,1,North-East,Club,1,"['The Esplanade Mall', 'Dwarka Expy, Sector 88', 'Narayana e-techno School', 'SGT University', 'Max Hospital Gurugram']"
5074,Tata Gurgaon Gateway,Sector 112,2.5,1463,2,2,2,10,24,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-1580-sq-ft-spid-E82268906,0,1,0,1,3.6000000000000005,1,North-East,Club,1,"['Dwarka Sector 21 Metro Station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Jaipur Highway', 'Dwarka Expy']"
5075,Sobha City,Sector 108,3.65,1655,3,4,2,9,24,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-spid-J82184006,1,1,1,2,3.7,1,North,Others,1,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University']"
5076,Godrej Meridien,Sector 106,2.9,917,3,3,4,5,34,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1855-sq-ft-spid-W82173154,1,1,0,1,3.4,1,North-East,Club,0,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109']"
5077,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.65,1607,3,3,3,6,26,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-N81863956,2,1,0,1,3.9,1,North-East,Club,1,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5078,Indiabulls Centrum Park,Sector 103,1.9,1846,3,3,4,14,18,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-1900-sq-ft-spid-P81834412,0,2,0,2,3.8,1,South-West,Club,1,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School']"
5079,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.62,1607,3,3,4,6,14,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-J81831764,0,1,0,1,3.9,1,North,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5080,Shapoorji Pallonji Joyville Gurugram,Sector 102,3.25,1767,4,4,4,16,23,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-2162-sq-ft-spid-T81831942,0,2,0,2,3.9,1,North,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5081,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.36,1465,3,3,3,12,14,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1692-sq-ft-spid-J81831844,0,1,0,1,3.9,1,North,Main Road,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5082,Sobha City,Sector 108,4.25,1703,3,3,2,11,24,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-spid-X81418807,1,1,0,1,3.7,1,North-East,Club,1,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University']"
