,Property Name,Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Floor Num,Total Floor,Property Age,URL,Furnishing,Covered_Parking,Open_Parking,Total Parking,Rating,Power Backup,Facing,Overlooking,Extra_Rooms,NearbyPlaces
0,Vipul Lavanya,Sector 81,1.05,1031,2,2,2,10,14,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1250-sq-ft-r2-spid-K80810329,1,1,0,1,3.6000000000000005,1,North,Club,0,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University']"
1,Sare Crescent Parc Royal Greens Phase 1,Sector 92,1.29,1305,3,3,2,6,7,3,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sare-crescent-parc-royal-greens-phase-1-sector-92-gurgaon-1469-sq-ft-r3-spid-O79362959,1,1,0,1,3.74,1,North-East,Club,3,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
2,Orris Carnation Residency,Sector 85,1.05,1032,2,2,2,11,12,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1115-sq-ft-r3-spid-L78898929,1,1,0,1,3.8,1,North,Club,0,"['Omaxe Celebration Mall within reach', 'Nearby Lotus Valley International School', 'The Shri Ram School Aravali', 'Close to ARC Multi Specialty Hospital']"
3,Sare Homes,Sector 92,1.48,1574,3,3,4,13,20,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1526-sq-ft-r3-spid-R78269557,0,1,0,1,3.78,1,North,Club,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
4,Vipul Lavanya,Sector 81,1.4,1444,3,3,3,12,14,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1560-sq-ft-r2-spid-S80809531,1,1,0,1,3.6000000000000005,1,North,Pool,1,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University']"
5,Sare Sports Parc,Sector 92,1.95,1938,4,4,3,1,18,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-sports-parc-sector-92-gurgaon-2093-sq-ft-r3-spid-R79365161,0,1,0,1,4.12,1,North-East,Club,1,"['Reliance Trends Newtown Square Mall', 'Dwarka Expy, Gurugram', 'Pranavananda International School', 'SGT UNIVERSITY']"
6,Sare Homes,Sector 92,1.4,1367,3,2,2,6,20,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-r3-spid-U78268611,0,1,0,1,3.66,1,North,Park,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
7,Sare Green ParC 4,Sector 92,1.9,2061,4,4,2,4,18,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-green-parc-4-sector-92-gurgaon-2226-sq-ft-r3-spid-V79365523,0,2,0,2,3.64,1,North-East,Club,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump']"
8,KLJ Square,Sector 83,0.695,309,1,1,0,2,7,1,https://www.99acres.com/studio-apartment-flat-for-sale-in-klj-square-sector-83-gurgaon-300-sq-ft-spid-D83624232,0,1,0,1,3.96,0,Unknown,Park,0,"['S.R.S. Hospital and Critical Care Unit', 'Orris Community Center', 'Petrol Pump Indian Oil', 'Petrol Pump Indian Oil', 'Petrol Pump']"
9,Antriksh Heights,Sector 84,0.9,1111,2,2,3,9,19,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r3-spid-V79363689,1,1,0,1,3.8,1,North,Main Road,0,"['Millennium City', 'Sapphire 83', 'NH 48', 'Delhi Public School', 'Dhamma Dipa International', 'Aarvy Healthcare hospital']"
11,TARC Maceo,Sector 91,1.45,1213,2,2,3,12,13,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tarc-maceo-sector-91-gurgaon-1310-sq-ft-r5-spid-V77413555,2,0,2,2,4.0,1,North,Club,1,"['Manish Gallexie 91', 'Dwarka Expressway', 'Rao Bharat Singh International School', 'Dronacharya College of Engineering']"
12,Spaze Privy AT4,Sector 84,2.2,2106,3,3,4,12,21,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-privy-at4-sector-84-gurgaon-2275-sq-ft-r5-spid-W77237611,1,1,0,1,3.7,1,North,Club,1,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Delhi Public School, Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84']"
13,DLF Express Greens,Sector 1,1.8,2140,4,4,3,18,20,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-express-greens-sector-1a-imt-manesar-gurgaon-2230-sq-ft-r1-spid-K82200502,0,1,1,2,3.9,1,North,Club,1,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Yadav Dental & Eye Care', 'Prakash Hospital', 'Shri Rade Clinic', 'Petrol pump Maitri motors']"
14,SS The Coralwood,Sector 84,1.81,1620,3,3,4,7,21,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ss-the-coralwood-sector-84-gurgaon-1750-sq-ft-r3-spid-X79368891,1,1,0,1,3.5,1,North-East,Club,0,"['Sapphire 83 Mall', 'Sector 84 Road', 'Dwarka Expy', 'Delhi Public School, Sector 84', 'DPG Degree College', 'Aarvy Hospital']"
15,Antriksh Heights,Sector 84,1.5,1875,3,3,4,7,19,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-2025-sq-ft-r3-spid-Y79365199,1,1,0,1,3.8,1,North,Main Road,1,"['Millennium City', 'Sapphire 83', 'NH 48', 'Delhi Public School', 'Dhamma Dipa International', 'Aarvy Healthcare hospital']"
16,M3M Heights,Sector 65,2.46,1168,2,2,3,7,34,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1261-sq-ft-spid-J83569720,1,1,0,1,3.8,1,North,Main Road,1,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School']"
17,M3M Heights,Sector 65,3.47,1693,3,3,3,6,34,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-B83569686,1,1,0,1,3.8,1,North,Lake facing,1,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School']"
18,M3M Heights,Sector 65,2.61,1343,2,2,3,8,34,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1450-sq-ft-spid-M83566756,1,1,0,1,3.8,1,North,Lake facing,1,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School']"
19,M3M Heights,Sector 65,3.55,1789,3,2,2,30,48,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1932-sq-ft-spid-X83566392,1,1,0,1,3.8,1,North,Lake facing,1,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School']"
20,Emaar Imperial Gardens,Sector 102,2.47,1651,3,4,1,10,18,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-U83550864,1,1,1,2,3.8,1,North,Club,1,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital']"
21,Conscient Heritage Max,Sector 102,2.66,1798,3,4,3,20,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-F83464162,1,1,0,1,4.2,1,North-East,Club,1,"['Millennium City Centre Metro Station', 'The Esplanade Mall', 'Dwarka Expressway', 'Delhi Public School', 'Sgt University']"
22,Conscient Heritage Max,Sector 102,2.6,1793,3,4,3,20,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1936-sq-ft-spid-G83452850,1,1,0,1,4.2,1,North-East,Club,1,"['Millennium City Centre Metro Station', 'The Esplanade Mall', 'Dwarka Expressway', 'Delhi Public School', 'Sgt University']"
23,Conscient Heritage Max,Sector 102,2.62,1798,3,4,3,2,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-Y83452488,1,1,0,1,4.2,1,North-East,Club,1,"['Millennium City Centre Metro Station', 'The Esplanade Mall', 'Dwarka Expressway', 'Delhi Public School', 'Sgt University']"
24,Conscient Heritage Max,Sector 102,2.65,1798,3,4,3,14,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-C83451902,1,1,0,1,4.2,1,North-East,Club,1,"['Millennium City Centre Metro Station', 'The Esplanade Mall', 'Dwarka Expressway', 'Delhi Public School', 'Sgt University']"
25,M3M Heights,Sector 65,3.56,1800,3,3,4,5,34,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-L83412974,1,1,1,2,3.8,1,North,Club,1,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School']"
26,Pyramid Elite,Sector 86,0.75,608,2,2,1,8,14,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-590-sq-ft-spid-M83265058,0,1,1,2,3.84,1,North,Park,1,"['V3S Sapphire Ninety', 'Garhi Harsaru Junction', 'Euro International School', 'SGT University', 'Silver Streak Multi Speciality Hospital']"
27,Vipul Lavanya,Sector 81,2.0,2060,4,5,3,8,14,3,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-2225-sq-ft-spid-T83185436,1,1,1,2,3.6000000000000005,1,North,Club,1,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University']"
28,Mapsko Paradise,Sector 83,1.05,972,2,2,3,10,12,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-r1-spid-L81037647,0,1,0,1,3.9,1,North,Park,1,"['Millennium City Centre Gurugram', 'Raheja Mall', 'NH 48', 'Vivekanand school', 'Gurugram Univ Kankrola Sec 87', 'Genesis Hospital']"
29,Mapsko Paradise,Sector 83,1.08,1026,2,2,3,9,12,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-r1-spid-A81440905,1,1,0,1,3.9,1,North,Club,1,"['Millennium City Centre Gurugram', 'Raheja Mall', 'NH 48', 'Vivekanand school', 'Gurugram Univ Kankrola Sec 87', 'Genesis Hospital']"
30,Smart World Gems,Sector 89,1.35,1119,2,2,2,1,4,1,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-gems-sector-89-gurgaon-1208-sq-ft-spid-R83135508,0,1,0,1,3.68,1,North,Club,1,"['Millennium City Centre Gurugram', 'Airia Mall', 'Dwarka Expy', 'RPS International School', 'SGT University', 'Genesis Hospital Sector 84']"
31,Shree Vardhman Victoria,Sector 70,2.4,1806,3,4,4,10,18,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-spid-B83118596,1,1,0,1,3.6000000000000005,1,North,Lake facing,2,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International']"
32,Conscient Heritage Max,Sector 102,2.55,1798,3,3,3,20,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-G82932708,1,1,0,1,4.2,1,North-East,Club,1,"['Huda Metro Station', 'Ocus Medley Mall', 'The Esplanade Mall', 'Gurugram Road', 'Dwarka Expy', 'Prime Scholars International School']"
33,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.38,1545,3,3,2,11,26,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1669-sq-ft-spid-M82883398,1,1,0,1,3.9,0,West,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
34,Shapoorji Pallonji Joyville Gurugram,Sector 102,1.45,836,2,2,2,2,26,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-903-sq-ft-spid-P82883140,1,1,0,1,3.9,0,West,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
35,SS Linden Floors,Sector 84,3.0,1900,4,4,3,2,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ss-linden-floors-sector-84-gurgaon-2400-sq-ft-spid-V82842054,1,2,1,3,3.62,1,North,Club,1,"['Millennium City Centre Gurugram', 'City Square mall', 'Dwarka Expressway', 'Modern Public School-kherki Daula', 'Agri Business Management Collage']"
36,Umang Monsoon Breeze,Sector 78,1.35,1225,2,2,3,3,18,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-umang-monsoon-breeze-sector-78-gurgaon-1377-sq-ft-r3-spid-O78662843,1,1,0,1,3.8,1,North-East,Others,1,"['Proposed Metro Station', 'Mahapal Shing', 'National Highway 8', 'IGD Primary Health Care', 'HDFC Bank', 'PCL Logistics']"
37,Umang Monsoon Breeze,Sector 78,1.65,1530,3,3,2,10,13,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-monsoon-breeze-sector-78-gurgaon-1730-sq-ft-r5-spid-V74846805,1,1,0,1,3.8,1,West,Club,1,"['Proposed Metro Station', 'Mahapal Shing', 'National Highway 8', 'IGD Primary Health Care', 'HDFC Bank', 'PCL Logistics']"
38,Emaar MGF Palm Hills,Sector 77,1.85,1340,3,4,3,3,13,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-hills-sector-77-gurgaon-1450-sq-ft-r1-spid-K81248125,1,0,1,1,4.2,1,North-East,Main Road,2,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Sohna Road', 'Narayana e Techno School ', 'DPG Institute of Technology']"
39,DLF The Primus,Sector 82,3.8,1814,4,4,4,17,32,3,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-primus-sector-82a-gurgaon-2273-sq-ft-r1-spid-N81128659,1,1,0,1,4.1,1,North,Main Road,1,"['Sapphire 83', 'NH 48', 'Cambridge Montessori', 'Miracles Apollo Hospital', 'IGI Airport', 'Garhi Harsaru Junction']"
40,Umang Winter Hills,Sector 77,1.4,1193,2,2,2,11,18,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-1342-sq-ft-r1-spid-F81086159,1,1,0,1,4.0,1,North-East,Club,1,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital']"
41,Umang Winter Hills,Sector 77,2.0,1620,3,3,3,4,18,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-1822-sq-ft-r1-spid-U81287129,2,1,0,1,4.0,1,North-East,Others,0,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital']"
42,Hero Homes,Sector 104,1.9,1230,3,2,2,10,35,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1359-sq-ft-spid-N82785800,1,1,1,2,4.2,1,North,Club,0,"['The Esplanade Mall', 'Dwarka Expressway', 'Gurugram Global Heights School', 'SGT University', 'Medanta Hospital']"
43,Orris Carnation Residency,Sector 85,1.5,1523,3,4,3,2,12,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1645-sq-ft-spid-Y82749230,1,1,0,1,3.8,1,North,Park,1,"['Omaxe Celebration Mall within reach', 'Nearby Lotus Valley International School', 'The Shri Ram School Aravali', 'Close to ARC Multi Specialty Hospital']"
44,Hero Homes,Sector 104,2.25,1564,3,3,2,23,35,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-E82717786,1,2,1,3,4.220000000000001,1,North-East,Club,2,"['The Esplanade Mall', 'Dwarka Expressway', 'Gurugram Global Heights School', 'SGT University', 'Medanta Hospital']"
45,Puri Emerald Bay,Sector 104,3.5,2526,3,3,4,8,29,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-2450-sq-ft-spid-P82715662,1,2,1,3,4.2,1,North-East,Club,3,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College']"
46,Puri Emerald Bay,Sector 104,2.3,1753,2,2,2,7,29,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-1700-sq-ft-spid-U82715572,1,1,1,2,4.2,1,Unknown,Park,3,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College']"
47,Orris Aster Court,Sector 85,2.45,2165,4,4,3,8,12,3,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orris-aster-court-sector-85-gurgaon-2100-sq-ft-spid-N82696768,1,2,1,3,3.92,1,North,Club,1,"['""Proposed Metro Station', 'Dwarka Expressway', 'Dhaula Kuan', 'IGI', 'Domestic Airport', 'Haldiram\'s""']"
48,Smart World Gems,Sector 89,1.65,1494,3,3,2,2,4,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-A82695976,0,0,1,1,3.74,1,North-East,Others,1,"['Millennium City Centre Gurugram', 'Airia Mall', 'Dwarka Expy', 'RPS International School', 'SGT University', 'Genesis Hospital Sector 84']"
49,Orris Carnation Residency,Sector 85,1.2,999,2,2,2,4,12,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1115-sq-ft-spid-X82694942,1,1,1,2,3.8,1,North,Club,1,"['Omaxe Celebration Mall within reach', 'Nearby Lotus Valley International School', 'The Shri Ram School Aravali', 'Close to ARC Multi Specialty Hospital']"
50,Bestech Park View Ananda,Sector 81,1.8,1383,3,2,2,10,15,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-1660-sq-ft-spid-X82498562,1,1,1,2,4.1,1,North,Club,1,"['""Metro Station Kankrola sec 87', 'Sapphire 83 Mall', ""St. Xavier's High School"", 'Amity University Sec 87 Kankrola', 'Miracles Apollo Cradle /Spectra Hospital""']"
51,Emaar Mgf Palm Terraces Select,Sector 66,4.31,2231,4,5,3,1,12,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-G82457334,1,2,0,2,3.6000000000000005,1,West,Club,1,"['Sector 55/56 Metro Station', 'Omaxe Gurgaon Mall', 'Golf Course Ext Rd', 'Badshahpur Sohna Rd Hwy', 'DPS International Edge']"
52,Sare Homes,Sector 92,1.18,1096,3,2,3,2,4,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1184-sq-ft-spid-C82409564,1,1,1,2,3.8,1,North,Park,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
53,Umang Winter Hills,Sector 77,2.35,1846,3,4,4,8,18,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-2077-sq-ft-r1-spid-Y80944229,1,1,0,1,4.0,1,North-East,Others,1,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital']"
54,DLF The Primus,Sector 82,3.5,2000,4,4,4,11,12,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-primus-sector-82a-gurgaon-2308-sq-ft-r1-spid-F78887593,1,1,1,2,4.1,1,North,Club,0,"['Sapphire 83', 'NH 48', 'Cambridge Montessori', 'Miracles Apollo Hospital', 'IGI Airport', 'Garhi Harsaru Junction']"
55,Conscient Heritage Max,Sector 102,2.6,1798,3,3,3,20,25,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-R82307152,1,1,0,1,4.2,1,North-East,Club,1,"['Huda Metro Station', 'Ocus Medley Mall', 'The Esplanade Mall', 'Gurugram Road', 'Dwarka Expy', 'Prime Scholars International School']"
56,Vatika Seven Elements,Sector 89,1.65,1486,2,3,3,12,21,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-1605-sq-ft-spid-M82305764,1,1,0,1,3.8400000000000007,1,North-East,Club,1,"['Millennium City Centre Gurugram', 'Newtown Square Mall', 'Dwarka Expy', 'Euro International School', 'SGT University']"
57,M3M Sky Lofts,Sector 71,1.1,689,1,1,1,11,12,1,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-m3m-sky-lofts-sector-71-gurgaon-744-sq-ft-spid-U81730118,0,1,0,1,3.86,1,North,Lake facing,0,"['Sector 55-56 Rapid Metro', 'Omex City Centre Mall', 'Sohna Road', 'NH 48', 'Vega School', 'Polaris Hospital', 'Indira Gandhi Intl Airport']"
58,Puri Diplomatic Greens,Sector 111,3.7,1980,3,4,4,7,21,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2215-sq-ft-r1-spid-U79011459,1,2,1,3,3.7,1,North,Club,1,"['Dwarka Sector 21', 'Dreamz Mall', 'Northern Peripheral Road', 'Red Roses Public School', 'The NorthCap University']"
59,Godrej Meridien,Sector 106,2.8,1610,3,4,4,10,34,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1855-sq-ft-spid-R79009733,1,1,1,2,3.4,1,North,Club,1,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109']"
60,M3M Soulitude,Sector 89,1.58,1260,3,3,2,1,4,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-C82580058,0,1,0,1,3.78,1,North-East,Club,4,"['Vatika Town Square-INXT', 'Sector 86 Road', 'Dwarka Expy', 'Delh-Ajmer Expy', 'Euro International School', 'Gurugram University']"
61,Tulip Yellow,Sector 69,2.28,1487,3,3,3,6,26,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-W81852680,0,1,0,1,3.86,1,North,Club,0,"['Sector 55-56 Metro Station', 'Airia Mall', 'Badshahpur Sohna Rd Highway', 'KIIT', 'Ananta Hospital', 'Park Hospital']"
62,Tulip Yellow,Sector 69,2.3,1487,3,3,3,15,26,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-S81852628,0,1,0,1,4.0,1,North,Main Road,0,"['Sector 55-56 Metro Station', 'Airia Mall', 'Badshahpur Sohna Rd Highway', 'KIIT', 'Ananta Hospital', 'Park Hospital']"
63,Tulip Yellow,Sector 69,2.35,1376,3,3,4,17,26,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-r1-spid-O79689963,0,1,0,1,3.8,1,North,Club,2,"['Sector 55-56 Metro Station', 'Airia Mall', 'Badshahpur Sohna Rd Highway', 'KIIT', 'Ananta Hospital', 'Park Hospital']"
64,Spaze Privy,Sector 72,2.5,1625,2,2,3,9,16,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-spaze-privy-sector-72-gurgaon-1755-sq-ft-spid-B83009182,1,1,0,1,3.8,1,North,Club,1,"['Iffco Chowk', 'Omaxe City Centre', 'NH 248A', 'Euro International School', 'Gurugram University', 'Park Hospital']"
65,Experion The Heartsong,Sector 108,1.45,1188,2,2,3,12,14,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1283-sq-ft-spid-E82793710,2,1,1,2,4.0,1,North,Main Road,1,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport']"
66,Shapoorji Pallonji Joyville Gurugram,Sector 102,1.95,1215,2,2,2,11,26,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1215-sq-ft-spid-J82792888,1,1,1,2,3.9,1,North,Park,1,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
67,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.65,1715,3,3,3,2,26,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-C82787238,1,1,0,1,3.9,1,Unknown,Park,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
